Element,Node1,Node2,Stress_MPa
0,0,1,13.333333333333327
1,1,2,13.333333333333332
2,3,4,-26.666666666666654
3,0,3,-24.037008503093254
4,1,3,24.037008503093254
5,1,4,24.037008503093254
6,2,4,-24.037008503093247
